Program,Version,Lines Refactored,Lines Annotated,Lines Left,#ptr,#ntarr,#arr,#wild,#bounds,#casts
bh,manual,137 (10.51 %),45 (3.44 %),N/A,135,3,54,0,51,10
bh,revert,N/A,43 (3.28 %),29 (2.21 %),135,3,54,0,51,11
bh,tweak,3 (0.23 %),94 (7.21 %),105 (8.05 %),132,1,54,2,51,16
bh,orig,N/A,48 (3.68 %),130 (9.98 %),24,1,54,110,51,1
bisort,manual,57 (21.43 %),35 (13.73 %),N/A,44,2,2,0,2,0
bisort,revert,N/A,34 (13.33 %),1 (0.39 %),44,2,2,0,2,1
bisort,orig,N/A,51 (19.17 %),52 (20.39 %),32,0,2,3,2,3
em3d,manual,158 (34.42 %),82 (16.84 %),N/A,61,3,31,0,30,0
em3d,revert,N/A,82 (16.84 %),28 (5.77 %),64,2,29,0,28,2
em3d,orig,N/A,77 (16.78 %),149 (32.53 %),63,0,30,4,25,12
health,manual,42 (11.38 %),57 (15.62 %),N/A,70,3,7,0,7,0
health,revert,N/A,57 (15.62 %),0 (0.00 %),72,2,6,0,6,0
health,orig,N/A,57 (15.45 %),27 (7.32 %),72,0,6,2,6,3
mst,manual,129 (39.21 %),28 (8.41 %),N/A,43,4,8,0,8,3
mst,revert,N/A,28 (8.41 %),4 (1.20 %),45,3,7,0,7,1
mst,tweak,19 (5.78 %),16 (5.08 %),115 (36.51 %),5,0,5,49,5,1
mst,orig,N/A,12 (3.65 %),132 (40.12 %),3,0,4,54,4,0
perimeter,manual,34 (10.27 %),10 (3.03 %),N/A,26,2,2,0,2,0
perimeter,revert,N/A,10 (3.03 %),0 (0.00 %),26,2,2,0,2,0
perimeter,tweak,3 (0.91 %),20 (6.02 %),27 (8.13 %),26,0,2,3,2,1
perimeter,orig,N/A,4 (1.21 %),39 (11.78 %),0,0,2,29,2,0
power,manual,53 (11.67 %),30 (6.55 %),N/A,35,1,21,0,15,0
power,revert,N/A,30 (6.55 %),0 (0.00 %),41,1,15,0,15,0
power,orig,N/A,26 (5.73 %),55 (12.11 %),6,0,15,36,15,0
treeadd,manual,30 (20.98 %),16 (11.03 %),N/A,12,2,2,0,2,0
treeadd,revert,N/A,16 (11.03 %),0 (0.00 %),12,2,2,0,2,0
treeadd,orig,N/A,19 (13.29 %),27 (18.75 %),12,0,2,4,2,3
tsp,manual,68 (16.15 %),10 (2.38 %),N/A,66,3,3,0,3,0
tsp,revert,N/A,9 (2.14 %),1 (0.24 %),68,2,2,0,2,0
tsp,tweak,4 (0.95 %),40 (9.48 %),33 (7.82 %),68,0,2,3,2,1
tsp,orig,N/A,4 (0.95 %),72 (17.10 %),2,0,2,69,2,0
anagram,manual,90 (26.87 %),52 (14.44 %),N/A,16,4,32,4,31,0
anagram,revert,N/A,27 (7.50 %),38 (10.61 %),15,7,11,23,11,6
anagram,orig,N/A,27 (8.06 %),98 (29.25 %),12,7,12,13,11,3
ft,manual,147 (16.63 %),122 (13.74 %),N/A,169,1,2,0,2,4
ft,revert,N/A,122 (13.74 %),0 (0.00 %),169,1,2,0,2,0
ft,orig,N/A,126 (14.25 %),146 (16.57 %),169,0,2,1,2,4
ks,manual,85 (17.03 %),35 (7.06 %),N/A,56,6,15,0,15,5
ks,revert,N/A,35 (7.06 %),11 (2.22 %),57,4,15,1,15,3
ks,orig,N/A,64 (12.83 %),86 (17.23 %),56,5,15,1,15,8
yacr2,manual,280 (12.69 %),157 (7.07 %),N/A,15,5,135,0,135,0
yacr2,revert,N/A,195 (8.78 %),143 (6.44 %),54,4,93,4,93,42
yacr2,orig,N/A,181 (8.20 %),395 (17.91 %),49,0,82,27,82,61
